di,dotmode,y,x,dur,subj,ntrials
1,3d,0.2857142857142857,0.0,0.03333333333333333,ALL,14.0
1,3d,0.25,0.015,0.03333333333333333,ALL,12.0
1,3d,0.5335365853658537,0.03,0.03333333333333333,ALL,328.0
1,3d,0.4603658536585366,0.06,0.03333333333333333,ALL,328.0
1,3d,0.49390243902439024,0.12,0.03333333333333333,ALL,328.0
1,3d,0.4969512195121951,0.25,0.03333333333333333,ALL,328.0
1,3d,0.515625,0.5,0.03333333333333333,ALL,256.0
1,3d,0.5474137931034483,1.0,0.03333333333333333,ALL,232.0
3,3d,0.375,0.0,0.05,ALL,16.0
3,3d,0.3888888888888889,0.015,0.05,ALL,18.0
3,3d,0.5209424083769634,0.03,0.05,ALL,382.0
3,3d,0.5523560209424084,0.06,0.05,ALL,382.0
3,3d,0.5585106382978723,0.12,0.05,ALL,376.0
3,3d,0.49096385542168675,0.25,0.05,ALL,332.0
3,3d,0.5841584158415841,0.5,0.05,ALL,404.0
3,3d,0.5824468085106383,1.0,0.05,ALL,376.0
4,3d,0.46153846153846156,0.0,0.06666666666666667,ALL,26.0
4,3d,0.75,0.015,0.06666666666666667,ALL,12.0
4,3d,0.4970588235294118,0.03,0.06666666666666667,ALL,340.0
4,3d,0.5177514792899408,0.06,0.06666666666666667,ALL,338.0
4,3d,0.5297619047619048,0.12,0.06666666666666667,ALL,336.0
4,3d,0.5301204819277109,0.25,0.06666666666666667,ALL,332.0
4,3d,0.6328125,0.5,0.06666666666666667,ALL,256.0
4,3d,0.6724137931034483,1.0,0.06666666666666667,ALL,232.0
5,3d,0.525,0.0,0.08333333333333333,ALL,40.0
5,3d,0.4444444444444444,0.015,0.08333333333333333,ALL,9.0
5,3d,0.55,0.03,0.08333333333333333,ALL,260.0
5,3d,0.538135593220339,0.06,0.08333333333333333,ALL,236.0
5,3d,0.5532786885245902,0.12,0.08333333333333333,ALL,244.0
5,3d,0.6284722222222222,0.25,0.08333333333333333,ALL,288.0
5,3d,0.7078651685393258,0.5,0.08333333333333333,ALL,356.0
5,3d,0.7758620689655172,1.0,0.08333333333333333,ALL,232.0
6,3d,0.5277777777777778,0.0,0.1,ALL,36.0
6,3d,0.4444444444444444,0.015,0.1,ALL,9.0
6,3d,0.4728682170542636,0.03,0.1,ALL,258.0
6,3d,0.48398576512455516,0.06,0.1,ALL,281.0
6,3d,0.5645161290322581,0.12,0.1,ALL,248.0
6,3d,0.6354166666666666,0.25,0.1,ALL,192.0
6,3d,0.75,0.5,0.1,ALL,160.0
6,3d,0.851063829787234,1.0,0.1,ALL,188.0
7,3d,0.6,0.0,0.11666666666666667,ALL,60.0
7,3d,0.4166666666666667,0.015,0.11666666666666667,ALL,12.0
7,3d,0.5294117647058824,0.03,0.11666666666666667,ALL,374.0
7,3d,0.5978552278820375,0.06,0.11666666666666667,ALL,373.0
7,3d,0.6212871287128713,0.12,0.11666666666666667,ALL,404.0
7,3d,0.6770334928229665,0.25,0.11666666666666667,ALL,418.0
7,3d,0.8074866310160428,0.5,0.11666666666666667,ALL,374.0
7,3d,0.8881578947368421,1.0,0.11666666666666667,ALL,304.0
8,3d,0.625,0.0,0.15,ALL,24.0
8,3d,0.5,0.015,0.15,ALL,6.0
8,3d,0.5540540540540541,0.03,0.15,ALL,148.0
8,3d,0.6052631578947368,0.06,0.15,ALL,152.0
8,3d,0.5683453237410072,0.12,0.15,ALL,139.0
8,3d,0.7307692307692307,0.25,0.15,ALL,156.0
8,3d,0.8406593406593407,0.5,0.15,ALL,182.0
8,3d,0.8879310344827587,1.0,0.15,ALL,116.0
9,3d,0.48333333333333334,0.0,0.16666666666666666,ALL,60.0
9,3d,0.3333333333333333,0.015,0.16666666666666666,ALL,12.0
9,3d,0.5294117647058824,0.03,0.16666666666666666,ALL,374.0
9,3d,0.6114130434782609,0.06,0.16666666666666666,ALL,368.0
9,3d,0.6527415143603134,0.12,0.16666666666666666,ALL,383.0
9,3d,0.7475728155339806,0.25,0.16666666666666666,ALL,412.0
9,3d,0.8715203426124197,0.5,0.16666666666666666,ALL,467.0
9,3d,0.9294478527607362,1.0,0.16666666666666666,ALL,326.0
10,3d,0.4166666666666667,0.0,0.21666666666666667,ALL,36.0
10,3d,0.3333333333333333,0.015,0.21666666666666667,ALL,12.0
10,3d,0.4927007299270073,0.03,0.21666666666666667,ALL,274.0
10,3d,0.6260869565217392,0.06,0.21666666666666667,ALL,230.0
